method,episode_id,family,case_type,failure_reason,predicted_contract_id,predicted_state,confidence,response,action_completed,repaired,rationale
LearnedPAM,controlled_research_ideation_001_direct_trigger,research_ideation,direct_trigger,missed_or_incomplete_action,research_prior_work,fire,0.709,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=research_ideation:0.75 specificity=0.42 base=0.49 bonus=0.22 retrieval=0.42 guard=0.09 action=0.13
LearnedPAM,controlled_research_ideation_002_direct_trigger,research_ideation,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=research_ideation confidence=0.55
LearnedPAM,controlled_research_ideation_003_direct_trigger,research_ideation,direct_trigger,missed_or_incomplete_action,research_prior_work,fire,0.7146,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=research_ideation:0.55 specificity=0.42 base=0.49 bonus=0.22 retrieval=0.42 guard=0.10 action=0.14
LearnedPAM,controlled_research_ideation_004_direct_trigger,research_ideation,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=research_ideation confidence=0.55
LearnedPAM,controlled_research_ideation_005_indirect_trigger,research_ideation,indirect_trigger,missed_or_incomplete_action,research_prior_work,fire,0.6747,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=research_ideation:0.75 specificity=0.42 base=0.45 bonus=0.22 retrieval=0.42 guard=0.00 action=0.14
LearnedPAM,controlled_research_ideation_006_indirect_trigger,research_ideation,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=research_ideation confidence=0.55
LearnedPAM,controlled_research_ideation_007_indirect_trigger,research_ideation,indirect_trigger,missed_or_incomplete_action,research_prior_work,fire,0.5373,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=research_ideation:0.55 specificity=0.30 base=0.32 bonus=0.22 retrieval=0.30 guard=0.00 action=0.07
LearnedPAM,controlled_research_ideation_008_indirect_trigger,research_ideation,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_research_ideation_009_indirect_trigger,research_ideation,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_research_ideation_010_indirect_trigger,research_ideation,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=research_ideation confidence=0.55
