episode_id,family,case_type,set_type,gold_state,gold_contract_id,current_pred_state,current_pred_contract_id,r2_pred_state,r2_pred_contract_id,current_success_strict,r2_success_strict,transition,failure_reason_current,failure_reason_r2,current_response,r2_response
controlled_research_ideation_027_contract_swap,research_ideation,contract_swap,controlled,suppress,none,fire,nut_safety,suppress,none,False,True,fixed,wrong_contract_false_fire,success,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",No prospective action is needed.
controlled_food_safety_003_direct_trigger,food_safety,direct_trigger,controlled,fire,nut_safety,fire,nut_safety,suppress,none,True,False,regressed,success,wrong_contract_action,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",No prospective action is needed.
controlled_food_safety_006_indirect_trigger,food_safety,indirect_trigger,controlled,fire,nut_safety,suppress,none,fire,nut_safety,False,True,fixed,wrong_contract_action,success,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
controlled_food_safety_026_conflict,food_safety,conflict,controlled,conflict,nut_safety,suppress,none,fire,nut_safety,False,False,unchanged_wrong,conflict_failure,behavioral_conflict_without_detection,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
controlled_travel_planning_002_direct_trigger,travel_planning,direct_trigger,controlled,fire,entry_constraints,fire,entry_constraints,suppress,none,True,False,regressed,success,wrong_contract_action,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",No prospective action is needed.
controlled_travel_planning_024_conflict,travel_planning,conflict,controlled,conflict,entry_constraints,fire,entry_constraints,conflict,entry_constraints,False,True,fixed,behavioral_conflict_without_detection,success,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.","Priority conflict: preserve the higher-priority contract. Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary."
controlled_medical_caution_010_indirect_trigger,medical_caution,indirect_trigger,controlled,fire,health_uncertainty,fire,health_uncertainty,conflict,health_uncertainty,True,False,regressed,success,missed_or_incomplete_action,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate.
controlled_email_rewriting_024_conflict,email_rewriting,conflict,controlled,conflict,plain_professional_email,fire,plain_professional_email,suppress,none,False,False,unchanged_wrong,behavioral_conflict_without_detection,conflict_failure,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",No prospective action is needed.
controlled_email_rewriting_027_contract_swap,email_rewriting,contract_swap,controlled,suppress,none,fire,research_prior_work,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,No prospective action is needed.
controlled_current_facts_010_indirect_trigger,current_facts,indirect_trigger,controlled,fire,verify_current_facts,fire,verify_current_facts,suppress,none,True,False,regressed,success,wrong_contract_action,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,No prospective action is needed.
controlled_current_facts_026_conflict,current_facts,conflict,controlled,conflict,verify_current_facts,fire,verify_current_facts,conflict,verify_current_facts,False,True,fixed,behavioral_conflict_without_detection,success,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer.
