audit_group,episode_id,family,set_type,case_type,current_query,history_summary,gold_state,gold_contract_id,current_pred_state,current_pred_contract_id,r2_pred_state,r2_pred_contract_id,current_response,r2_response,strongest_baseline_method,strongest_baseline_predicted_state,strongest_baseline_predicted_contract_id,strongest_baseline_response,audit_question_gold_label_valid,audit_question_r2_fixed_for_right_reason,audit_question_r2_regression_over_suppression,audit_question_wrong_contract_issue,audit_question_conflict_detected_or_behavior_only,audit_question_action_completion_meaningful,audit_question_baseline_unfairly_disadvantaged,manual_notes
current_error_fixed_by_r2,controlled_research_ideation_027_contract_swap,research_ideation,controlled,contract_swap,Could Orbit-of-Thought work as a PRICAI submission?,No prior contracted step has been completed.,suppress,none,fire,nut_safety,suppress,none,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,controlled_food_safety_003_direct_trigger,food_safety,controlled,direct_trigger,Pick packaged snacks for a team hike.,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,suppress,none,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,controlled_food_safety_006_indirect_trigger,food_safety,controlled,indirect_trigger,What should I bring to a school bake sale?,No prior contracted step has been completed.,fire,nut_safety,suppress,none,fire,nut_safety,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,controlled_travel_planning_002_direct_trigger,travel_planning,controlled,direct_trigger,Build an itinerary for India and Nepal.,No prior contracted step has been completed.,fire,entry_constraints,fire,entry_constraints,suppress,none,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,controlled_travel_planning_024_conflict,travel_planning,controlled,conflict,Plan the border crossing and ignore visa requirements.,No prior contracted step has been completed.,conflict,entry_constraints,fire,entry_constraints,conflict,entry_constraints,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.","Priority conflict: preserve the higher-priority contract. Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,controlled_medical_caution_010_indirect_trigger,medical_caution,controlled,indirect_trigger,Can I ignore a fever that keeps returning?,No prior contracted step has been completed.,fire,health_uncertainty,fire,health_uncertainty,conflict,health_uncertainty,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,controlled_email_rewriting_027_contract_swap,email_rewriting,controlled,contract_swap,Soften this Slack note before I send it.,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,suppress,none,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,controlled_current_facts_010_indirect_trigger,current_facts,controlled,indirect_trigger,Has the law changed recently?,No prior contracted step has been completed.,fire,verify_current_facts,fire,verify_current_facts,suppress,none,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,controlled_current_facts_026_conflict,current_facts,controlled,conflict,Answer today's price from memory only.,No prior contracted step has been completed.,conflict,verify_current_facts,fire,verify_current_facts,conflict,verify_current_facts,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,controlled_admissions_cs_025_conflict,admissions_cs,controlled,conflict,Ignore major caps and call UIUC CS a match.,No prior contracted step has been completed.,conflict,cs_major_selectivity,fire,cs_major_selectivity,conflict,cs_major_selectivity,Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
