episode_id,family,case_type,set_type,gold_state,current_prediction,r2_prediction,d3_method,d3_prediction,current_success_strict,r2_success_strict,d3_success_strict,transition,failure_reason_current,failure_reason_r2,failure_reason_d3
controlled_medical_caution_010_indirect_trigger,medical_caution,indirect_trigger,controlled,fire,fire:health_uncertainty,conflict:health_uncertainty,PACT_intent_plus_state_family_compiler,conflict:health_uncertainty,True,False,False,regressed,success,missed_or_incomplete_action,missed_or_incomplete_action
controlled_current_facts_010_indirect_trigger,current_facts,indirect_trigger,controlled,fire,fire:verify_current_facts,suppress:none,PACT_intent_plus_state_family_compiler,suppress:none,True,False,False,regressed,success,wrong_contract_action,wrong_contract_action
naturalistic_medical_caution_005_indirect_trigger,medical_caution,indirect_trigger,naturalistic,fire,fire:health_uncertainty,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,True,False,False,regressed,success,wrong_contract_action,wrong_contract_action
naturalistic_email_rewriting_006_indirect_trigger,email_rewriting,indirect_trigger,naturalistic,fire,fire:plain_professional_email,fire:schedule_conflict_check,PACT_intent_plus_state_family_compiler,fire:schedule_conflict_check,True,False,False,regressed,success,wrong_contract_action,wrong_contract_action
naturalistic_current_facts_009_indirect_trigger,current_facts,indirect_trigger,naturalistic,fire,fire:verify_current_facts,fire:legal_policy_uncertainty,PACT_intent_plus_state_family_compiler,fire:legal_policy_uncertainty,True,False,False,regressed,success,wrong_contract_action,wrong_contract_action
naturalistic_data_analysis_hygiene_012_indirect_trigger,data_analysis_hygiene,indirect_trigger,naturalistic,fire,fire:analysis_hygiene,fire:flask_auth_security,PACT_intent_plus_state_family_compiler,fire:flask_auth_security,True,False,False,regressed,success,wrong_contract_action,wrong_contract_action
naturalistic_benchmark_novelty_019_near_miss,benchmark_novelty,near_miss,naturalistic,suppress,suppress:none,fire:legal_policy_uncertainty,PACT_intent_plus_state_family_compiler,fire:legal_policy_uncertainty,True,False,False,regressed,success,false_trigger,false_trigger
naturalistic_scheduling_020_near_miss,scheduling,near_miss,naturalistic,suppress,suppress:none,fire:legal_policy_uncertainty,PACT_intent_plus_state_family_compiler,fire:legal_policy_uncertainty,True,False,False,regressed,success,false_trigger,false_trigger
naturalistic_legal_policy_caution_023_wrong_scope,legal_policy_caution,wrong_scope,naturalistic,suppress,suppress:none,fire:legal_policy_uncertainty,PACT_intent_plus_state_family_compiler,fire:legal_policy_uncertainty,True,False,False,regressed,success,false_trigger,false_trigger
naturalistic_admissions_cs_034_conflict,admissions_cs,conflict,naturalistic,conflict,conflict:cs_major_selectivity,conflict:flask_auth_security,PACT_intent_plus_state_family_compiler,conflict:flask_auth_security,True,False,False,regressed,success,missed_or_incomplete_action,missed_or_incomplete_action
