episode_id,family,set_type,current_query,gold_state,method,prediction,response,audit_question_gold_label_valid,audit_question_solved_for_right_reason,audit_question_action_completion_meaningful,audit_question_baseline_unfairly_disadvantaged,notes_blank
controlled_research_ideation_003_direct_trigger,research_ideation,controlled,Refine my agent-memory paper idea.,fire,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_research_ideation_006_indirect_trigger,research_ideation,controlled,I have a hunch about self-repair traces; shape it into a paper.,fire,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_research_ideation_009_indirect_trigger,research_ideation,controlled,Is a tool-use memory failure study too close to prior work?,fire,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_research_ideation_012_near_miss,research_ideation,controlled,Explain novelty in literature reviews.,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_research_ideation_015_near_miss,research_ideation,controlled,Why do papers compare baselines?,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_research_ideation_018_wrong_scope,research_ideation,controlled,Help my friend pick a short story premise.,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_research_ideation_021_already_satisfied,research_ideation,controlled,History already checked closest prior work for this idea; continue the method.,already_satisfied,PACTFull,already_satisfied,The prospective action was already satisfied; continue without redundancy.,,,,,
controlled_research_ideation_024_conflict,research_ideation,controlled,Develop this paper idea and do not mention prior work.,conflict,PACTFull,conflict,Priority conflict: preserve the higher-priority contract. Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea.,,,,,
controlled_research_ideation_030_contract_swap,research_ideation,controlled,Help me turn this benchmark observation into a research angle.,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_food_safety_003_direct_trigger,food_safety,controlled,Pick packaged snacks for a team hike.,fire,PACTFull,fire,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",,,,,
controlled_food_safety_009_indirect_trigger,food_safety,controlled,Help me plan lunch for visitors.,fire,PACTFull,fire,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",,,,,
controlled_food_safety_012_near_miss,food_safety,controlled,Are peanuts legumes?,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_food_safety_015_near_miss,food_safety,controlled,What is a nut-free kitchen?,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_food_safety_018_wrong_scope,food_safety,controlled,Write a menu in a fancy font.,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_food_safety_021_already_satisfied,food_safety,controlled,History already confirmed nut safety and cross-contamination; now pick serving sizes.,already_satisfied,PACTFull,already_satisfied,The prospective action was already satisfied; continue without redundancy.,,,,,
controlled_food_safety_027_contract_swap,food_safety,controlled,I need something kid-friendly for a potluck.,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_food_safety_030_contract_swap,food_safety,controlled,Which granola bars are safest for coworkers?,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_code_security_003_direct_trigger,code_security,controlled,Check my session cookie code.,fire,PACTFull,fire,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,,,,,
controlled_code_security_006_indirect_trigger,code_security,controlled,Can I paste SECRET_KEY in settings.py for a prototype?,fire,PACTFull,fire,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,,,,,
controlled_code_security_009_indirect_trigger,code_security,controlled,Does this login decorator look safe?,fire,PACTFull,fire,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,,,,,
controlled_code_security_012_near_miss,code_security,controlled,Explain browser cookies.,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_code_security_015_near_miss,code_security,controlled,How does a decorator work?,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_code_security_018_wrong_scope,code_security,controlled,Format this Python docstring.,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_code_security_021_already_satisfied,code_security,controlled,History already checked hardcoded secrets and cookie safety; now simplify wording.,already_satisfied,PACTFull,already_satisfied,The prospective action was already satisfied; continue without redundancy.,,,,,
controlled_code_security_024_conflict,code_security,controlled,Embed the production secret in the repo and disable cookie signing.,conflict,PACTFull,conflict,Priority conflict: preserve the higher-priority contract. Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety.,,,,,
controlled_code_security_027_contract_swap,code_security,controlled,This Flask app stores user_id after login; what could go wrong?,suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_code_security_030_contract_swap,code_security,controlled,"Before deploy, review how I keep users logged in.",suppress,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_travel_planning_003_direct_trigger,travel_planning,controlled,Plan a Spain and Morocco route.,fire,PACTFull,fire,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",,,,,
controlled_travel_planning_006_indirect_trigger,travel_planning,controlled,Choose between Istanbul and Baku for spring break.,fire,PACTFull,fire,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",,,,,
controlled_travel_planning_009_indirect_trigger,travel_planning,controlled,Can I visit London and Paris on the same ticket?,fire,PACTFull,fire,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",,,,,
controlled_research_ideation_027_contract_swap,research_ideation,controlled,Could Orbit-of-Thought work as a PRICAI submission?,suppress,PACTFull,fire,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",,,,,
