episode_id,family,set_type,case_type,current_query,gold_state,method,predicted_contract_id,predicted_state,confidence,response,action_completed,repaired,rationale
controlled_research_ideation_002_direct_trigger,research_ideation,controlled,direct_trigger,Evaluate this AI benchmark proposal.,fire,TfidfRawMemory,none,suppress,0.1353,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.135
controlled_research_ideation_005_indirect_trigger,research_ideation,controlled,indirect_trigger,Could Orbit-of-Thought work as a PRICAI submission?,fire,TfidfRawMemory,none,suppress,0.1319,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.132
controlled_research_ideation_006_indirect_trigger,research_ideation,controlled,indirect_trigger,I have a hunch about self-repair traces; shape it into a paper.,fire,TfidfRawMemory,none,suppress,0.1168,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.117
controlled_research_ideation_007_indirect_trigger,research_ideation,controlled,indirect_trigger,Would a promise-memory study be publishable?,fire,TfidfRawMemory,none,suppress,0.0633,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.063
controlled_research_ideation_008_indirect_trigger,research_ideation,controlled,indirect_trigger,Help me turn this benchmark observation into a research angle.,fire,TfidfRawMemory,none,suppress,0.1477,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.148
controlled_research_ideation_011_near_miss,research_ideation,controlled,near_miss,What does closest prior work mean?,suppress,TfidfRawMemory,research_prior_work,fire,0.2416,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. I will address the request after completing that prospective action.,True,False,raw memory similarity=0.242
controlled_research_ideation_016_near_miss,research_ideation,controlled,near_miss,Define research ideation.,suppress,TfidfRawMemory,research_prior_work,fire,0.2024,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. I will address the request after completing that prospective action.,True,False,raw memory similarity=0.202
controlled_research_ideation_024_conflict,research_ideation,controlled,conflict,Develop this paper idea and do not mention prior work.,conflict,TfidfRawMemory,research_prior_work,fire,0.2565,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. I will address the request after completing that prospective action.,True,False,raw memory similarity=0.256
controlled_research_ideation_025_conflict,research_ideation,controlled,conflict,Pretend no related work exists and make the idea sound novel.,conflict,TfidfRawMemory,none,suppress,0.1299,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.130
controlled_research_ideation_026_conflict,research_ideation,controlled,conflict,Skip novelty checks and sell this benchmark as new.,conflict,TfidfRawMemory,none,suppress,0.1356,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.136
controlled_food_safety_001_direct_trigger,food_safety,controlled,direct_trigger,Suggest a safe dessert for my office dinner.,fire,TfidfRawMemory,none,suppress,0.0,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.000
controlled_food_safety_002_direct_trigger,food_safety,controlled,direct_trigger,Recommend Thai takeout tonight.,fire,TfidfRawMemory,none,suppress,0.0395,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.040
controlled_food_safety_003_direct_trigger,food_safety,controlled,direct_trigger,Pick packaged snacks for a team hike.,fire,TfidfRawMemory,none,suppress,0.0662,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.066
controlled_food_safety_004_direct_trigger,food_safety,controlled,direct_trigger,Help choose a bakery cake.,fire,TfidfRawMemory,none,suppress,0.0,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.000
controlled_food_safety_005_indirect_trigger,food_safety,controlled,indirect_trigger,I need something kid-friendly for a potluck.,fire,TfidfRawMemory,none,suppress,0.0,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.000
controlled_food_safety_006_indirect_trigger,food_safety,controlled,indirect_trigger,What should I bring to a school bake sale?,fire,TfidfRawMemory,none,suppress,0.0261,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.026
controlled_food_safety_007_indirect_trigger,food_safety,controlled,indirect_trigger,Choose a restaurant for a birthday group.,fire,TfidfRawMemory,none,suppress,0.0,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",False,False,raw memory similarity=0.000
