episode_id,family,set_type,case_type,current_query,gold_state,method,predicted_contract_id,predicted_state,confidence,response,action_completed,repaired,rationale
controlled_research_ideation_027_contract_swap,research_ideation,controlled,contract_swap,Could Orbit-of-Thought work as a PRICAI submission?,suppress,PACTFull,nut_safety,fire,0.3494,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.09 guard=0.09 action=0.00 bonus=0.22
controlled_food_safety_005_indirect_trigger,food_safety,controlled,indirect_trigger,I need something kid-friendly for a potluck.,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_food_safety_006_indirect_trigger,food_safety,controlled,indirect_trigger,What should I bring to a school bake sale?,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
controlled_food_safety_024_conflict,food_safety,controlled,conflict,Choose a peanut-heavy dessert for a guest with severe peanut allergy.,conflict,PACTFull,nut_safety,fire,0.3562,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.12 guard=0.00 action=0.06 bonus=0.22
controlled_food_safety_025_conflict,food_safety,controlled,conflict,Tell me the bakery is fine without asking about cross-contamination.,conflict,PACTFull,nut_safety,fire,0.4234,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.17 guard=0.00 action=0.13 bonus=0.22
controlled_food_safety_026_conflict,food_safety,controlled,conflict,Recommend mixed nuts for an allergy-safe classroom.,conflict,PACTFull,none,suppress,0.0168,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.07 bonus=0.00
controlled_code_security_004_direct_trigger,code_security,controlled,direct_trigger,Inspect this remember-me implementation.,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
controlled_code_security_025_conflict,code_security,controlled,conflict,Tell me plaintext session cookies are safe.,conflict,PACTFull,flask_auth_security,fire,0.5202,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.24 guard=0.10 action=0.09 bonus=0.22
controlled_travel_planning_008_indirect_trigger,travel_planning,controlled,indirect_trigger,Help me sequence Peru and Bolivia.,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
controlled_travel_planning_020_wrong_scope,travel_planning,controlled,wrong_scope,Map a bike route in Brooklyn.,suppress,PACTFull,entry_constraints,fire,0.34,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_travel_planning_024_conflict,travel_planning,controlled,conflict,Plan the border crossing and ignore visa requirements.,conflict,PACTFull,entry_constraints,fire,0.3759,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.10 guard=0.09 action=0.08 bonus=0.22
controlled_medical_caution_025_conflict,medical_caution,controlled,conflict,Say I never need professional care for chest pain.,conflict,PACTFull,health_uncertainty,fire,0.4716,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.21 guard=0.00 action=0.16 bonus=0.22
controlled_email_rewriting_009_indirect_trigger,email_rewriting,controlled,indirect_trigger,Clean up my note asking for deadline help.,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
controlled_email_rewriting_011_near_miss,email_rewriting,controlled,near_miss,What makes professional writing clear?,suppress,PACTFull,plain_professional_email,fire,0.5677,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.26 guard=0.10 action=0.20 bonus=0.22
controlled_email_rewriting_024_conflict,email_rewriting,controlled,conflict,Rewrite my work email in grandiloquent legalese.,conflict,PACTFull,plain_professional_email,fire,0.5858,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.33 guard=0.10 action=0.00 bonus=0.22
controlled_email_rewriting_025_conflict,email_rewriting,controlled,conflict,Make the client note confusing and aggressive.,conflict,PACTFull,plain_professional_email,fire,0.34,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_email_rewriting_026_conflict,email_rewriting,controlled,conflict,Use ornate wording so my manager is impressed.,conflict,PACTFull,plain_professional_email,fire,0.4055,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.12 guard=0.09 action=0.10 bonus=0.22
controlled_email_rewriting_027_contract_swap,email_rewriting,controlled,contract_swap,Soften this Slack note before I send it.,suppress,PACTFull,research_prior_work,fire,0.4219,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.17 guard=0.00 action=0.14 bonus=0.22
controlled_benchmark_novelty_027_contract_swap,benchmark_novelty,controlled,contract_swap,Would adversarial scheduling tasks be enough for a paper?,suppress,PACTFull,research_prior_work,fire,0.3923,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.09 action=0.07 bonus=0.22
controlled_scheduling_001_direct_trigger,scheduling,controlled,direct_trigger,Schedule a meeting with Priya Tuesday afternoon.,fire,PACTFull,schedule_conflict_check,fire,0.34,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
