episode_id,family,case_type,set_type,gold_state,gold_contract_id,current_pred_state,current_pred_contract_id,r2_pred_state,r2_pred_contract_id,current_success_strict,r2_success_strict,transition,failure_reason_current,failure_reason_r2,current_response,r2_response
controlled_research_ideation_027_contract_swap,research_ideation,contract_swap,controlled,suppress,none,fire,nut_safety,suppress,none,False,True,fixed,wrong_contract_false_fire,success,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",No prospective action is needed.
controlled_food_safety_006_indirect_trigger,food_safety,indirect_trigger,controlled,fire,nut_safety,suppress,none,fire,nut_safety,False,True,fixed,wrong_contract_action,success,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
controlled_travel_planning_024_conflict,travel_planning,conflict,controlled,conflict,entry_constraints,fire,entry_constraints,conflict,entry_constraints,False,True,fixed,behavioral_conflict_without_detection,success,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.","Priority conflict: preserve the higher-priority contract. Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary."
controlled_email_rewriting_027_contract_swap,email_rewriting,contract_swap,controlled,suppress,none,fire,research_prior_work,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,No prospective action is needed.
controlled_current_facts_026_conflict,current_facts,conflict,controlled,conflict,verify_current_facts,fire,verify_current_facts,conflict,verify_current_facts,False,True,fixed,behavioral_conflict_without_detection,success,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer.
controlled_admissions_cs_025_conflict,admissions_cs,conflict,controlled,conflict,cs_major_selectivity,fire,cs_major_selectivity,conflict,cs_major_selectivity,False,True,fixed,behavioral_conflict_without_detection,success,Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds.
controlled_legal_policy_caution_027_contract_swap,legal_policy_caution,contract_swap,controlled,suppress,none,fire,research_prior_work,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,No prospective action is needed.
controlled_legal_policy_caution_030_contract_swap,legal_policy_caution,contract_swap,controlled,suppress,none,fire,entry_constraints,suppress,none,False,True,fixed,wrong_contract_false_fire,success,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",No prospective action is needed.
paraphrase_food_safety_015_indirect_trigger,food_safety,indirect_trigger,paraphrase,fire,nut_safety,suppress,none,fire,nut_safety,False,True,fixed,wrong_contract_action,success,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
paraphrase_food_safety_016_indirect_trigger,food_safety,indirect_trigger,paraphrase,fire,nut_safety,suppress,none,fire,nut_safety,False,True,fixed,wrong_contract_action,success,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
naturalistic_current_facts_033_conflict,current_facts,conflict,naturalistic,conflict,verify_current_facts,fire,verify_current_facts,conflict,verify_current_facts,False,True,fixed,behavioral_conflict_without_detection,success,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer.
naturalistic_research_ideation_037_contract_swap,research_ideation,contract_swap,naturalistic,suppress,none,fire,plain_professional_email,suppress,none,False,True,fixed,wrong_contract_false_fire,success,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",No prospective action is needed.
naturalistic_food_safety_038_contract_swap,food_safety,contract_swap,naturalistic,suppress,none,fire,benchmark_contribution_role,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Determine whether the benchmark is the main contribution or only an evaluation protocol. Check: The response must state whether the benchmark is the main contribution or an evaluation protocol. Applicable prospective contract found; preparing answer.,No prospective action is needed.
naturalistic_code_security_039_contract_swap,code_security,contract_swap,naturalistic,suppress,none,fire,schedule_conflict_check,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,No prospective action is needed.
